# -*- ck2.landed_titles -*-

# HOLY ORDERS
d_knights_templar = { # Knights Templar
	color = { 230 230 230 }
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = lappish_band_composition
	# Hire Trigger
	allow = {
		OR = {
			religion_group = christian
			religion_group = pagan_group
		}
	}
}
d_lithuanian_band = { # Lithuanian Band
	color = { 169 90 95 }
	color2 = { 255 255 255 }
	capital = 421 # Žëmaitëjë # Lietuva / Zhmud
	# Parent Religion
	religion = baltic_pagan
	culture = lithuanian
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = lithuanian_band_composition
	# Hire Trigger
	allow = {
		OR = {
			religion_group = christian
			religion_group = pagan_group
		}
	}
}
d_abyssinian_band = { # Abyssinian Band
	color = { 180 135 60 }
	color2 = { 255 255 255 }
	capital = 875 # Aksum # Axum
	# Parent Religion
	religion = miaphysite
	culture = ethiopian
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = abyssinian_band_composition
	# Hire Trigger
	allow = {
		OR = {
			religion_group = christian
			religion_group = jewish_group
		}
	}
}
d_nubian_band = { # Nubian Band
	color = { 155 165 80 }
	color2 = { 255 255 255 }
	capital = 878 # Bâdi # Hayya
	# Parent Religion
	religion = miaphysite
	culture = nubian
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = nubian_band_composition
	# Hire Trigger
	allow = {
		OR = {
			religion_group = christian
			religion_group = jewish_group
		}
	}
}
d_scottish_band = { # Scottish Band
	color = { 30 90 182 }
	color2 = { 255 255 255 }
	capital = 43 # Gowrie
	# Parent Religion
	religion = catholic
	culture = scottish
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = scottish_band_composition
	# Hire Trigger
	allow = { always = yes }
}
d_irish_band = { # Irish Band
	color = { 112 255 70 }
	color2 = { 255 255 255 }
	capital = 10 # Kildare
	# Parent Religion
	religion = catholic
	culture = irish
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = irish_band_composition
	# Hire Trigger
	allow = { always = yes }
}
d_alan_band = { # Alan Riders
	color = { 245 210 90 }
	color2 = { 255 255 255 }
	capital = 603 # Alania
	# Parent Religion
	religion = orthodox
	culture = alan
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = alan_band_composition
	# Hire Trigger
	allow = { always = yes }
}
d_pecheneg_band = { # Pecheneg Band
	color = { 100 100 30 }
	color2 = { 255 255 255 }
	capital = 542 # Yedisan # Olvia
	# Parent Religion
	religion = orthodox
	culture = pecheneg
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = pecheneg_band_composition
}
d_bulgarian_band = { # Bulgarian Band
	color = { 100 50 30 }
	color2 = { 255 255 255 }
	capital = 508 # Preslav # Dorostotum
	# Parent Religion
	religion = orthodox
	culture = bulgarian
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = bulgarian_band_composition
}
d_turkic_band = { # Turkic Band
	color = { 100 50 30 }
	color2 = { 255 255 255 }
	capital = 621 # Buzachi
	# Parent Religion
	religion = orthodox
	culture = turkish
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = turkic_band_composition
}
d_mamluks = { # Mamluks
	color = { 80 160 80 }
	color2 = { 255 255 255 }
	graphical_culture = bektashigfx
	capital = 796 # Cairo
	# Parent Religion
	religion = shiite
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	strength_growth_per_century = 1.0
	mercenary_type = mamluks_composition
	# Hire Trigger
	allow = { religion_group = muslim }
}
d_venetian_navy = { # Adriatic Galleys
	color = { 60 175 170 }
	color2 = { 255 255 255 }
	short_name = yes
	capital = 356 # Venezia # Venice
	# Parent Religion
	religion = catholic
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	mercenary_type = naval_merc_composition
	# Hire Trigger
	allow = {
		religion_group = christian
		year = 1066
	}
}
d_genoese_navy = { # Ligurian Galleys
	color = { 224 161 120 }
	color2 = { 255 255 255 }
	short_name = yes
	capital = 233 # Genova # Genoa
	# Parent Religion
	religion = catholic
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	mercenary_type = naval_merc_composition
	# Hire Trigger
	allow = {
		religion_group = christian
		year = 1066
	}
}
d_hanseatic_navy = { # Baltic Cogs
	color = { 150 150 150 }
	color2 = { 255 255 255 }
	short_name = yes
	capital = 262 # Lübeck
	# Parent Religion
	religion = catholic
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	mercenary_type = naval_merc_composition
	# Hire Trigger
	allow = {
		religion_group = christian
		year = 1066
	}
}
d_frisian_navy = { # North Sea Cogs
	color = { 245 80 20 }
	color2 = { 255 255 255 }
	short_name = yes
	capital = 80 # Holland
	# Parent Religion
	religion = catholic
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	mercenary_type = naval_merc_composition
	# Hire Trigger
	allow = {
		religion_group = christian
		year = 1066
	}
}
d_maghreb_corsairs = { # Maghreb Navy
	color = { 174 237 125 }
	color2 = { 255 255 255 }
	short_name = yes
	capital = 1353 # Sfax # Mahdia
	# Parent Religion
	religion = sunni
	culture = maghreb_arabic
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	mercenary_type = naval_merc_composition
	# Hire Trigger
	allow = {
		religion_group = muslim
		year = 1066
	}
}
d_ghilman = { # Ghilman
	color = { 60 165 80 }
	color2 = { 255 255 255 }
	graphical_culture = bektashigfx
	capital = 621 # Buzachi
	# Parent Religion
	religion = sunni
	culture = oghuz
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	strength_growth_per_century = 1.0
	mercenary_type = ghilman_composition
	# Hire Trigger
	allow = { religion_group = muslim }
}
d_ghanan_band = { # Ghanan Band
	color = { 108 123 48 }
	color2 = { 255 255 255 }
	capital = 913 # Wagadu # Ghana
	# Parent Religion
	religion = west_african_pagan
	culture = manden
	mercenary = yes
	title = CAPTAIN
	foa = CAPTAIN_FOA
	# Always exists
	landless = yes
	# Cannot be held as a secondary title
	primary = yes
	# Cannot be vassalized
	independent = yes
	strength_growth_per_century = 1.0
	mercenary_type = ghanan_band_composition
	# Hire Trigger
	allow = { culture_group = west_african }
}
# EMPIRES
e_hre = { # Heiliges Römisches Reich
	color = { 224 195 65 }
	color2 = { 220 220 20 }
	capital = 1026 # Aachen
	religion = catholic
	culture = german
	short_name = yes
	k_hansa = { # The Hansa
		color = { 142 142 142 }
		color2 = { 255 255 255 }
		capital = 262 # Lübeck
		dignity = 200 # Never want the Hanseatic League to change primary title
		allow = { always = no }
	}
	k_frisia = { # Fryslân
		color = { 255 120 0 }
		color2 = { 220 220 20 }
		frisian = "Fresland" # Old Frisian
		dutch = "Friesland"
		german = "Friesland"
		frankish = "Frise"
		low_german = "Frieslaand" # ('Dutch' Low Saxon), "Freeslaand" ('German' Low Saxon)
		culture = frisian
		capital = 82 # Sticht # Dorestad
		catholic = 1500 # Crusade target weight
		norse_pagan_reformed = 300 # Crusade target weight
		d_holland = { # Holland
			color = { 250 150 20 }
			color2 = { 240 140 10 }
			capital = 80 # Holland
			culture = low_frankish
			name_tier = count
			frankish = "Hollande"
			frisian = "Hollân"
			c_holland = { # Holland (80)
				color = { 168 168 168 }
				color2 = { 255 255 255 }
				b_haarlem = { frisian = "Haarlim" }
				b_amsterdam = {}
				b_vlaardingen = {
					frankish = "Flardingue"
					frisian = "Flaardingen"
				}
				b_sgravenhage = {
					dutch = "Den Haag"
					frankish = "La Haye"
					frisian = "De Haach"
				}
				b_dordrecht = {
					frankish = "Dort"
					frisian = "Doardt"
				}
				#b_gouda = {}
				#b_leiden = {
				#	frankish = "Leyde"
				#	frisian = "Leien"
				#}
				#b_muiden = {}
			}
			c_zeeland = { # Zeeland (79)
				color = { 165 165 165 }
				color2 = { 255 255 255 }
				b_middelburg = {
					frankish = "Middelbourg"
					frisian = "Middelburch"
				}
				b_tholen = {}
				b_veere = {}
				b_vlissingen = {
					frankish = "Flessingue"
					frisian = "Flissingen"
				}
				#b_cadzand = {}
				#b_renesse = {}
				#b_borsele = {}
				#b_zierikzee = {}
			}
		} # end d_holland
		d_utrecht = { # Utrecht
			color = { 17 104 8 }
			color2 = { 240 140 10 }
			capital = 82 # Sticht # Utrecht
			culture = low_frankish
			name_tier = count
			frisian = "Utert"
			c_sticht = { # Sticht (82)
				color = { 156 156 156 }
				color2 = { 255 255 255 }
				b_woerden = {}
				b_utrecht = { frisian = "Utert" }
				b_gorinchem = { frisian = "Garkum" }
				b_ijsselstein = {}
				#b_dorestad = { frisian = "Dorestêd" }
				#b_zeist = {}
				#b_buren = {}
				#b_oudewater = {}
			}
			c_oversticht = { # Oversticht (1059)
				color = { 159 160 161 }
				color2 = { 255 255 255 }
				culture = low_saxon
				low_german = "Oaversticht"
				b_deventer = {
					frisian = "Dimter"
					low_german = "Daeventer" # (Plattdüütsch also uses Dèventer, but the more local variety Nedersaksies doesnn't)
				}
				b_kampen = {}
				b_coevorden = { low_german = "Coevern" }
				#b_zwolle = { frisian = "Swol" }
			}
		} # end d_utrecht
		d_gelre = { # Gelre
			color = { 64 105 139 }
			color2 = { 240 125 10 }
			capital = 83 # Gelre
			culture = low_frankish
			german = "Geldern"
			frankish = "Gueldre"
			c_arnhem = { # Veluwe (1017)
				color = { 159 159 159 }
				color2 = { 255 255 255 }
				b_elburg = {}
				b_arnhem = {
					german = "Arnheim"
					low_german = "Arnem"
					frisian = "Arnhim"
				}
				b_harderwijk = { low_german = "Harderwiek" }
				b_hattem = { low_german = "Attem" }
				#b_wageningen = { frankish = "Wageningue" }
			}
			c_gelre = { # Gelre (83)
				color = { 159 159 159 }
				color2 = { 255 255 255 }
				b_nijmegen = {
					german = "Nimwegen"
					frankish = "Nimègue"
					frisian = "Nymwegen"
					roman = "Noviomagus Batavodurum"
					greek = "Noiomagos"
				}
				b_geldern = {
					dutch = "Gelderen"
					frankish = "Gueldre"
				}
				b_roermond = { frankish = "Ruremonde" }
				b_montfort_gelre = {}
				b_gendt = {}
				#b_zaltbommel = {}
				#b_straelen = {}
			}
			c_zutphen = { # Zutphen (1058)
				color = { 159 159 159 }
				color2 = { 255 255 255 }
				culture = low_saxon
				low_german = "Zutfent"
				frisian = "Sutfen"
				b_zutphen = {
					low_german = "Zutfent"
					frisian = "Sutfen"
				}
				b_steenderen = {}
				b_eerbeek = {}
				#b_leuvenheim = {}
			}
		} # end d_gelre
		d_frisia = { # Friesland
			color = { 7 18 161 }
			color2 = { 240 125 10 }
			capital = 84 # Friesland # Frisia
			culture = frisian
			frisian = "Fresland"
			dutch = "Friesland"
			german = "Friesland"
			frankish = "Frise"
			low_german = "Freesland" # (German Low Saxon, Dutch Low Saxon: "Fraisland")
			c_ostfriesland = { # Ostfriesland (85)
				color = { 162 162 162 }
				color2 = { 255 255 255 }
				frisian = "Aastfräislound" # (local variety)
				low_german = "Oostfreesland"
				german = "Ostfriesland"
				dutch = "Oost Friesland"
				frankish = "Frise Orientale"
				b_emden = { frisian = "Oamde" }
				b_aurich = {
					frisian = "Aurk"
					low_german = "Auerk"
				}
				b_borkum = {}
				b_norden = { low_german = "Nörden" }
				#b_norderney = {
				#	frisian = "Nordeneach"
				#	low_german = "Nörderneei"
				#}
				#b_leer = { frisian = "Lier" }
				#b_wittmund = {}
				#b_esens = {}
			}
			c_rustringen = { # Rüstringen (1184)
				color = { 214 214 214 }
				color2 = { 255 255 255 }
				frisian = "Rjustringen" # (Dutch (West Lauwers) Frisian
				dutch = "Rustringen"
				b_jever = {}
				b_siebethsburg = {
					german = "Sibethsburg" # standard
					frisian = "Sibetsboarch"
					low_german = "Sibetsborg"
				}
				b_varel = { frisian = "Foarel" }
				#b_loningen = { low_german = "Löningen" }
				#b_schortens = { low_german = "Schörtens" }
				#b_kniphausen = { dutch = "Kniphuizen" }
			}
			c_westfriesland = { # Westfriesland (81)
				color = { 40 40 40 }
				color2 = { 255 255 255 }
				dutch = "West Friesland"
				frisian = "West Fryslân"
				german = "Westfriesland"
				frankish = "Frise Occidentale"
				b_alkmaar = {
					german = "Alkmar"
					frisian = "Alkmar"
				}
				b_hoorn = { frisian = "Hoarn" }
				b_medemblik = {}
				b_egmond = {}
				#b_enkhuizen = { frisian = "Inkhuzen" }
				#b_heerhugowaard = {}
				#b_texel = { frisian = "Tessel" }
				#b_schagen = {}
			}
			c_frisia = { # Friesland (84)
				color = { 160 160 160 }
				color2 = { 255 255 255 }
				frisian = "Fresland"
				dutch = "Friesland"
				german = "Friesland"
				frankish = "Frise"
				b_groningen = {
					low_german = "Grunnen" # (Dutch Low Saxon), "Grunneng" (German Low Saxon)
					frisian = "Grins"
					frankish = "Groningue"
				}
				b_leeuwarden = {
					frisian = "Ljouwert"
					frankish = "Leuvarde"
				}
				b_stavoren = {
					dutch = "Staveren" # older than Stavoren
					german = "Staveren" # older than Stavoren
					frisian = "Starum"
				}
				b_dokkum = {}
				#b_bolsward = { frisian = "Boalsert" }
				#b_franeker = { frisian = "Frjentsje" }
				#b_assen = {}
				#b_harlingen = { frisian = "Harns" }
			}
		} # end d_frisia
		allow = {
			hidden_tooltip = {
				OR = {
					ai = no
					culture = frisian
					culture = dutch
				}
			}
			independent = yes
			NOT = { tier = emperor }
			title_king_basic_allow = yes
		}
	} # end k_frisia
	k_upper_lorraine = { # Oberlothringen
		color = { 250 150 20 }
		color2 = { 220 220 20 }
		capital = 127 # Blâmont # Lorraine - Nancy
		culture = franconian
		name_tier = duke
		catholic = 4000 # Crusade target weight
		dutch = "Opper Lotharingen"
		german = "Oberlothringen"
		frankish = "Haute Lotharingie"
		d_trier = { # Trier
			color = { 232 232 208 }
			color2 = { 255 255 255 }
			culture = franconian
			frankish = "Trèves"
